top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,5,5,0,163,163,0,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,49,34,15,0,892,877,15,9148,6982,4562,3,3,2,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,47,47,0,0,64,64,0,1317,1929,0,6,6,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,7,7,0,141,141,0,2,2,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,31,31,0,31,31,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,13,13,0,29,29,0,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,96,50,46,0,245,199,46,11305,516,10815,5,5,2,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,189,376,0,2,2,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,19,19,0,0,94,94,0,491,491,0,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,74,50,24,0,483,459,24,3577,960,2679,3,3,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,6,6,0,20,20,0,2,2,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,3,3,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,6,6,0,6,6,0,2,2,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,3,3,0,61,61,0,2,2,0,0
1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,9,2,8,1,20,4,16,226,277,87,9,2,7,0
